WORKSHOP NAME,Workshop #1,Workshop #2,Workshop #3,MAX STUDENTS,Location 
The Art of Dancer Stretches,x,,,15,KV 121 dance studio
Slime and Cinema,,,x,20,N301
Cards and Cola,,x,,20,C123
Dungeons and Dragons,double,double ,,10,C119
The Art of Improv Comedy,,,x,20,C125
Drawing and Relaxation,,x,,20,C308
Selfcare Workshop,,,x,15,C307
Mix and Make Slime!,,x,x,15,C319
Powerful Pins w/ Donuts,x,x,,15,C121
Laser Cutting Keychains,x,,,10,MakerSpace in the Theatre 1st floor
Outdoor S'mores,,,x,20,OC Outdoor Classroom 
"Watching Tangled, Painting, & Treats",,,x,20,N302
A Bite Sized Movie: a micro-movie making workshop,,,x,25,N314
Henna & Cultural Bracelet Making,,,x,15,C215
Boba & Bob Ross,,x,x,15,C403
cookie decorating and roblox,,x,x,15,C404
2D Animation,double ,double ,,15,N314
Euchre Fun!,,,x,20,C217
🎯Dart Art!🎯,,,x,25,N320
👯Friendship Bracelets😻 ,,x,,20,N320
Political Pastries,,x,,15,N302
Candle Making,x,x,,10,C217
I Saw the TV Glow,double,double ,,25,C215
Rock On! Rock Painting and Classic Rock Music,x,x,,20,C305
Art of Roblox,,x,,25,N301
Mirror Painting,x,,,15,N301
Basics of Crochet,x,,,15,C324
Binary Bracelets ,x,,,15,N302
Slime and String Bracelet making,x,,x,15,C213
Scavenger Hunt,x,,,25,C303
Altoid Wallets and Zootopia,,x,,10,C405
Flower Making and a Movie!,x,,,20,C404
Sketchbook binding,x,,,15,C407
Pigments & Flames with RU!,,x,,25,C323
MYO Candles with RU!,x,,,20,C323
Shimmr- Build Your Own Press On Set !!,,,x,10,C407
Soda and Sketch,x,,,15,C309
Build Your House ,,,x,10,N308
Games of Hearts,x,,,20,N306
Art of Skateboarding ,x,,,15,C308
The Art of Ping Pong,x,,,20,C339
Making Legos and Watching Derry Girls,,,x,20,C304
Towel Origami,,x,,20,C324
Rate Animation film 'Look Back' with Snacks ,,x,,15,N215
Gelli Plate Printing,,,x,16,N318
Collaging and Tea with HLAB,,x,,15,C204 HS Library
Benito and Bracelets,x,x,,20,C304
Botanical Illustration ,,x,,20,C303
Canvas Mural Project with Richard Lo,triple,triple,triple,10,N316
Exquisite Corpse ,,x,x,20,C309
Madlibbing with Ouroboros!,,,x,25,C318
Perler Beads and Cocoa,x,,x,25,C405
Crumbl + Tote Bag Decorating,,,x,10,C324
I’m Good. You Good. We Good: Vision Boarding to Practice Self-Compassion,x,,,15,C307
Stress balls and disney,,,x,20,C306
Diamond Painting & Bluey,x,x,,15,C117
A Peek In The Studio: Building a track from scratch before your eyes with Alby Odum and Jack Murray,x,,,20,N214
The BEATLAB Experience with Brian Boncher,,x,,20,N214
Task Party,double,double ,,25,N308
Henna and Islam Hand to Hand,,,x,25,C303
Making Memory-Scented Candles,x,x,,10,C217
Bedazzling and Baked Goods,,x,x,15,C406
DIY Felt Name Banners,,x,,15,C306
Arts Fest Mural!,triple,triple,triple,10,TBD! Meet in Ms. Campos' office
Folded Map with Tonika Lewis Johnson,double,double,,25,N306
3D Ceramic Decoration,x,,,10,N320
Puzzles & Cocoa in the Library,,,x,25,C204 HS Library 
Scraps + Cinema,double,double ,,15,N318
Jewelry making while watching movie,,,x,20,C308
Disability Focused Zine Creation,x,x,,25,C318
Tea + Face/body pain,,,x,25,C309
Learn to Crochet,,x,,15,C322
Crochet and Chill,x,,,25,C322
Scrapbooking Fun!,,,x,20,C123
Making The Muppet Movie,,,x,15,C121
"Fans, Ribbons, & Veil Poi ",,,x,10,Blaine Theater S201
Visual Arts/Art History,x,,x,15,S211
