WORKSHOP NAME ,Workshop #1,Workshop #2,Workshop #3,MAX STUDENTS,Location ,Description
The Art of Dancer Stretches,x,,,15,KV 121 dance studio,"We will look at ways to stretch like a dancer, even if you are not one."
Slime and Cinema,,,x,20,N301,"This will be a fun, relaxing workshop for you and your friends to unwind and make slime while watching an iconic movie. We will provide materials to make various slimes and some yummy snacks. We will do a group vote to decide on the movie, so bring ideas and creativity."
Cards and Cola,,x,,20,C123,"Join us to make handmade cards for any occasion while sipping on a Coke while you work.  Diet, zero sugar, regular, cherry, and more!"
Dungeons and Dragons,double,double ,,10,C119,Participants in this workshop will play through a one-shot D&D adventure with Dungeon Masters from Rough Magic Games.
The Art of Improv Comedy,,,x,20,C125,"Come learn and play fun improv games! We will start by going over some of the basics of improv before trying out a variety of games. If you like comedy, theater, or just want to learn a new skill and grow your confidence, this workshop is for you!"
Drawing and Relaxation,,x,,20,C308,Come draw and chat with friends while listening to some relaxing music! 
Selfcare Workshop,,,x,15,C307,"In this workshop we will be watching a movie, enjoying refreshments, and relaxing."
Mix and Make Slime!,,x,x,15,C319,"Mix and make slime with different add-ins, colors, textures, scents, and more!"
Powerful Pins w/ Donuts,x,x,,15,C121,We will be making an empowering poster and pins for Lower Schoolers + Movie Like Legally Blond + Donuts. Come support female empowerment !! :)
Laser Cutting Keychains,x,,,10,MakerSpace in the Theatre 1st floor,"Come design and laser cut keychains in the Makerspace! No experience needed; we will teach you everything necessary. We will have blue, red, and iridescent acrylic to cut from. "
Outdoor S'mores,,,x,20,OC Outdoor Classroom ,"Come relax, hangout, and have fun outside making s'mores for a little while with some new people or some friends."
"Watching Tangled, Painting, & Treats",,,x,20,N302,"We'll be watching Disney's Tangled & watercolor painting, with cookies and candy! Come and join!"
A Bite Sized Movie: a micro-movie making workshop,,,x,25,N314,"We will spend 15 minutes learning the basics of filmmaking and then participants will have the opportunity to work in groups, making a microfilm to present to their peers. iPads will be provided to take photos but please bring your own computers to edit. No need to have any experience but if you do have experience, that's great!"
Henna & Cultural Bracelet Making,,,x,15,C215,"YWOC is hosting Henna and Cultural Bracelets. We will explore how jewelry is represented through different cultures and how it can express a sense of identity for each person.  You can make a bracelet from whatever culture you would like, as well as explore with Henna and stencils :)"
Boba & Bob Ross,,x,x,15,C403,Drink boba tea and paint a landscape (or whatever else you'd like) while you watch a Bob Ross tutorial!
cookie decorating and roblox,,x,x,15,C404,"Come decorate fun winter themed/shaped sugar cookies while relaxing and chatting with friends, all with a side of roblox!! At the conclusion of the workshop, judges will determine the most creatively decorated cookie!"
2D Animation,double ,double ,,15,N314,"We will be learning the basic principles required to create 2d animations, and applying them to make digital animations on procreate"
Euchre Fun!,,,x,20,C217,Fun environment where both beginners and experts can enjoy some time with friends playing euchre!!
🎯Dart Art!🎯,,,x,25,N320,🎯Dart Art!🎯 is back!  Do you consider yourself to be on point? Is your aim true? Then come live out your Princess Diaries fantasy by popping paint-filled balloons🎈with darts to create a large splatter painting🫟🎨 PLEASE WEAR CLOTHES THAT YOU DON'T MIND GETTING PAINT ON!
👯Friendship Bracelets😻 ,,x,,20,N320,👯 Be friends and join 3rd & 4th grade artists extraordinaire Viola & Bette making friendship bracelets! Enjoy some friendly snacks and Viola and Bette's friendly friendship playlist!
Political Pastries,,x,,15,N302,"Do you like cookies? Do you like political figures? Join us in a friendly competition where we see who can best copy their chosen person's likeness onto a sugar cookie using icing, frosting, and sprinkles. Maybe we'll even eat them after...?"
Candle Making,x,x,,10,C217,"This workshop you will be allowed to make your own scented candle. Learning the ways to easily be able to make more if you wanted later own using basic materials. Choosing your own scents, jars, and color of your candle as well as taking it home. You will enjoy the feeling of making a candle, start to finish from scratch. It is something that has been proven to calm people down, making and the final product of your candle. It is up to you whether you keep it or not, but I guarantee you'll want it."
I Saw the TV Glow,double,double ,,25,C215,"Join us in watching the movie I Saw the TV Glow, a horror movie that is more haunting than scary. After the movie, we will have some time to casually discuss and debrief on it! There will be popcorn! Run by Spectrum. "
Rock On! Rock Painting and Classic Rock Music,x,x,,20,C305,This workshop will rock: Join Ms. Himmelfarb and Ms. Augustine to paint a natural treasure and listen to some '80s music. 
Art of Roblox,,x,,25,N301,Join us for a fun time playing art based Roblox games like dress to impress and color or die (a returning classic from last year)! We will be handing out prizes for the winners!
Mirror Painting,x,,,15,N301,Paint on mirrors
Basics of Crochet,x,,,15,C324,"this workshop will teach the basics of crocheting including: slip knots, chain stitch, single crochet, double crochet, puff stitch and the magic circle. If there is time you will also learn how to crochet  a star or a scrunchy."
